id,place_id,architecture,history,spiritual,nature,culture
1,1,4.2,4.8,4.9,2.0,5.0
2,2,2.0,3.5,3.0,5.0,4.0
3,3,4.8,5.0,4.7,4.5,4.8
4,4,4.9,4.9,4.8,3.0,4.7
5,5,4.3,4.5,2.5,3.5,5.0
6,6,4.5,4.6,4.8,4.2,4.5
7,7,5.0,5.0,4.0,3.8,4.7
8,8,2.5,3.0,2.0,4.8,3.5
9,9,5.0,5.0,5.0,2.5,5.0
10,10,1.5,3.0,2.0,5.0,3.5
11,11,4.6,4.8,4.9,2.5,4.8
12,12,4.8,4.9,3.5,3.0,4.2
13,13,2.0,2.5,3.0,5.0,3.5
14,14,1.5,2.5,2.0,5.0,3.0
15,15,4.8,4.7,4.6,3.0,4.5
16,16,1.5,3.0,2.5,5.0,3.5
17,17,4.9,5.0,5.0,3.0,5.0
18,18,5.0,5.0,4.8,3.5,5.0
19,19,4.7,4.8,4.9,3.0,4.8
20,20,2.0,3.0,2.0,5.0,3.5
21,21,4.8,5.0,3.0,3.5,4.7
22,22,3.5,4.0,2.0,3.0,4.6
23,23,2.0,2.5,2.0,4.8,3.5
24,24,4.7,4.8,5.0,2.0,4.9
25,25,4.6,4.7,4.9,4.5,4.7
26,26,4.8,4.9,4.5,3.5,4.8
27,27,4.0,4.2,2.5,4.5,4.0
28,28,3.8,4.0,2.0,4.6,3.8
29,29,4.2,5.0,2.0,2.0,5.0
