id,name,duration,popularity,lat,long,risk,city_id,category,sub_category,duration_label,image_url,entry_fee,description
1,Chilika Lake,3.5,4.8,19.68,85.32,Moderate,1,Nature & Scenic Sanctum,Wildlife Sanctum & Eco-Heritage,3 to 4 Hours,https://s7ap1.scene7.com/is/image/incredibleindia/chilika-wildlife-sanctuary-puri-odisha-1-attr-hero?qlt=82&ts=1726663755053,Entry fee applicable; verify on-site,"Dive into the avian paradise of Chilika Lake, where wetlands echo with the calls of migratory birds. Witness the majestic spectacle of nature as flamingos and pelicans grace the waters."
2,Dhauligiri Hills & Shanti Stupa,2.5,4.7,20.1925,85.8394,Low,1,Heritage & Sacred Sanctum,Buddhist Peace Pagoda & Rock Edicts,2 to 3 Hours,https://s7ap1.scene7.com/is/image/incredibleindia/dhauligiri-hills-bubhaneshwar-odisha-1-attr-hero?qlt=82&ts=1742172014321,Entry fee applicable; verify on-site,"Explore the serene Dhauli Giri Hills in Bhubaneswar, known for its historical significance and panoramic views, making it a place for reflection and tranquility."
3,Chausathi Yogini Temple (Hirapur),2.0,4.6,20.2285,85.876,Low,1,Temple & Sacred Sanctum,Tantric Temple Architecture,1.5 to 2.5 Hours,https://s7ap1.scene7.com/is/image/incredibleindia/hirapur-bhubaneshwar1-odisha-attr-hero?qlt=82&ts=1742176593109,Free entry (Donations welcome; special darshan queue fees may apply),"Hirapur, a village near Bhubaneswar, is famous for its 11th-century Hypaethral temple dedicated to Goddess Mahamaya, which is a must-visit for tourists."
4,Kala Bhoomi Odisha Crafts Museum,2.5,4.7,20.2467,85.7958,Low,1,"Arts, Crafts & Museum",Traditional Craft & Artisan Heritage,2 to 3 Hours,https://s7ap1.scene7.com/is/image/incredibleindia/1-khandagiri-udaigiri-caves-attr-hero?qlt=82&ts=1742172787783,Entry fee applicable; verify on-site,"Explore Kala Bhoomi Odisha Crafts Museum in Bhubhaneshwar: See more about Kala Bhoomi Odisha Crafts Museum photos, timings, ticket prices and know the Kala Bhoomi Odisha Crafts Museum location."
5,Kantilo Nilamadhaba Temple,3.0,4.4,20.3622,85.1914,Low,1,Temple & Sacred Sanctum,Ancient Vaishnava Sanctum,2.5 to 3.5 Hours,https://s7ap1.scene7.com/is/image/incredibleindia/Explore-the-Rich-Heritage-of-Jajpur-City7-hero?qlt=82&ts=1726663567178,Entry fee applicable; verify on-site,"Explore the historic town of Kantilo, on the banks of river Mahanadi, near Bhubaneswar with its beautiful temples and serene natural surroundings. Plan your visit today."
6,Khandagiri & Udayagiri Caves,2.5,4.8,20.2631,85.7861,Moderate,1,Heritage & Archaeological Site,Rock-cut Jain Caves & Inscriptions,2 to 3 Hours,https://s7ap1.scene7.com/is/image/incredibleindia/1-khandagiri-udaigiri-caves-attr-hero?qlt=82&ts=1742172787783,Entry fee applicable; verify on-site,"Experience the ancient rock-cut caves of Udayagiri and Khandagiri in Bhubaneswar, featuring stunning sculptures, inscriptions, and panoramic views of the city."
7,Kuanria Dam & Deer Park,3.0,4.2,20.354,84.81,Low,1,Nature & Scenic Sanctum,Reservoir & Wildlife Eco-Park,2.5 to 3.5 Hours,https://s7ap1.scene7.com/is/image/incredibleindia/ansupa-lake-cuttack-odisha-1-attr-hero?qlt=82&ts=1726674675128,Entry fee applicable; verify on-site,A peaceful dam to seek solitude in the temple city
8,Lingaraj Temple,2.0,4.9,20.2382,85.8338,Low,1,Temple & Sacred Sanctum,Kalinga Shiva Temple,1.5 to 2.5 Hours,https://s7ap1.scene7.com/is/image/incredibleindia/lingaraj-temple-bhubaneshwar-odisha-1-attr-hero?qlt=82&ts=1742165306173,Free entry (Donations welcome; special darshan queue fees may apply),"Embark on a spiritual journey and marvel at the ancient architecture of Lingaraj Temple in Bhubaneswar, a must-visit for Hindu devotees and history enthusiasts."
9,Bhitarkanika National Park,4.0,4.8,20.7167,86.8667,Moderate,3,Nature & Scenic Sanctum,Mangrove Wetland & Crocodile Sanctuary,3.5 to 4.5 Hours,https://s7ap1.scene7.com/is/image/incredibleindia/cuttack-odisha-bhitarkanika-national-park-cuttack-orissa-1-attr-hero?qlt=82&ts=1726674724638,Entry fee applicable; verify on-site,Explore Bhitarkanika National Park in Cuttack - Where Wildlife and Pristine Ecosystems Converge.
10,Alarnatha Temple (Brahmagiri),2.0,4.6,19.742,85.679,Low,2,Temple & Sacred Sanctum,Vaishnava Pilgrimage Shrine,1.5 to 2.5 Hours,https://s7ap1.scene7.com/is/image/incredibleindia/alarnatha-temple-or-alvarnaatha-puri-odisha-1-attr-hero?qlt=82&ts=1726674737792,Free entry (Donations welcome; special darshan queue fees may apply),"Alarnatha Temple A Hindu shrine located in Brahmagiri, Puri, dedicated to Lord Vishnu. Celebrated for its annual Rath Yatra festival, drawing many devotees and visitors."
11,Atharnala Historic Bridge,1.5,4.4,19.8247,85.8273,Low,2,Heritage & Archaeological Site,Ancient Kalinga Engineering Monument,1 to 1.5 Hours,https://s7ap1.scene7.com/is/image/incredibleindia/atharnala-stone-bridge-puri-odisha-1-attr-hero?qlt=82&ts=1726663682500,Entry fee applicable; verify on-site,"Atharnala Bridge is an ancient stone bridge in Puri, Odisha. Visit to witness its impressive architecture and learn about its historical significance."
12,Balighai Beach,2.0,4.5,19.851,85.912,Moderate,2,Nature & Scenic Sanctum,Beach & Coastal Heritage,1.5 to 2.5 Hours,https://s7ap1.scene7.com/is/image/incredibleindia/balighai-beach-puri-odisha-1-attr-hero?qlt=82&ts=1726674743727,Free entry (Donations welcome; special darshan queue fees may apply),Enjoy the beauty of nature along the coast at Balighai Beach in Puri. It's a peaceful spot for relaxation and serene views.
13,Balukhand-Konark Wildlife Sanctuary,3.0,4.5,19.865,86.042,Low,2,Nature & Scenic Sanctum,Coastal Forest & Blackbuck Sanctuary,2.5 to 3.5 Hours,https://s7ap1.scene7.com/is/image/incredibleindia/chilika-wildlife-sanctuary-puri-odisha-2-attr-hero?qlt=82&ts=1726663783800,Entry fee applicable; verify on-site,"Immerse in the natural wonders of Balukhand Konark Wildlife Sanctuary in Puri, home to rich biodiversity and pristine coastal landscapes."
14,Chaurasi Varahi Temple,2.0,4.4,20.024,86.115,Low,2,Temple & Sacred Sanctum,Ancient Matrika Shrine,1.5 to 2.5 Hours,https://s7ap1.scene7.com/is/image/incredibleindia/chaurasi-puri-odisha-1-attr-hero?qlt=82&ts=1726674740718,Free entry (Donations welcome; special darshan queue fees may apply),"Chaurasi, is a small village famous for the ancient temple of Varahi. It is dedicated to Goddess Varahi. The temple belongs to the 9th century A.D."
15,Chilika Wildlife Sanctuary (Nalabana),3.0,4.7,19.7,85.45,Moderate,2,Nature & Scenic Sanctum,Wetland Bird Sanctuary,2.5 to 3.5 Hours,https://s7ap1.scene7.com/is/image/incredibleindia/chilika-wildlife-sanctuary-puri-odisha-1-attr-hero?qlt=82&ts=1726663755053,Entry fee applicable; verify on-site,Explore avian diversity at the Chilika Wildlife Sanctuary in Puri. A sanctuary for birdwatching enthusiasts.
16,Gundicha Temple,2.0,4.8,19.8258,85.8398,Low,2,Temple & Sacred Sanctum,Rath Yatra Garden Palace Temple,1.5 to 2.5 Hours,https://s7ap1.scene7.com/is/image/incredibleindia/gundicha-temple-puri-odisha-1-attr-hero?qlt=82&ts=1726663778679,Free entry (Donations welcome; special darshan queue fees may apply),"Gundicha Temple is a famous Hindu shrine in Puri, India, associated with the annual Rath Yatra festival that draws visitors and devotees from all around."
