id,name,duration,duration_label,lat,long,risk,city_id,category,sub_category,description,image_url,entry_fee,source,source_url,last_updated
1,Lingaraja Temple,2.0,1.5 to 2.5 Hours,20.238333,85.833611,Low,1,Temple & Sacred Sanctum,Kalinga Architecture Shiva Temple,"Lingaraja Temple, dedicated to Lord Shiva, is the largest and most prominent historic temple in Bhubaneswar, exemplifying the quintessence of Kalinga architecture. Built primarily by the Somavamsi dynasty with later Ganga additions, it remains an active place of worship and draws thousands of devotees daily.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Lingaraj_Temple_%2C_Bhubaneswar.jpg/960px-Lingaraj_Temple_%2C_Bhubaneswar.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Free entry,Wikipedia & SerpApi,https://en.wikipedia.org/wiki/Lingaraja_Temple,2026-08-26T22:26:58Z
2,"Mukteshvara Temple, Bhubaneswar",1.0,1 to 2 Hours,20.2427,85.840392,Low,1,Temple & Sacred Sanctum,Kalinga Architecture Shiva Temple,"Mukteshvara Temple, dating to c. 950–975 CE, is a 10th‑century Hindu shrine dedicated to Shiva and celebrated as the ""Gem of Odisha architecture"" for its pioneering torana and intricate Kalinga carvings.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Muktesvar_Temple.jpg/960px-Muktesvar_Temple.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Free entry (Donations welcome),Wikipedia & SerpApi,"https://en.wikipedia.org/wiki/Mukteshvara_Temple,_Bhubaneswar",2026-08-11T23:17:34Z
3,Rajarani Temple,2.0,1.5 to 2.5 Hours,20.243444,85.843522,Low,1,Heritage & Archaeological Site,11th-Century Non-Functioning Sandstone Temple Monument (ASI),"Rajarani Temple, an 11th‑century Hindu shrine in Bhubaneswar, is famed for its distinctive yellow‑red sandstone construction and intricate erotic carvings. Built in the pancharatha style with a curvilinear vimana and pyramidal jagamohana, the monument reflects the mature Kalinga architectural tradition and is maintained by the ASI.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Rajarani_Temple_2.jpg/960px-Rajarani_Temple_2.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,"₹25 for Indians, ₹250 for Foreigners (Children below 15 free)",Wikipedia & SerpApi,https://en.wikipedia.org/wiki/Rajarani_Temple,2026-08-11T23:20:56Z
4,Dhauli,2.0,1.5 to 2.5 Hours,20.192372,85.839489,Low,1,Heritage & Archaeological Site,Buddhist Heritage Site,"Dhauli, a hill on the banks of the Daya River about 8 km south of Bhubaneswar, is traditionally identified as the battlefield of the Kalinga War that transformed Emperor Ashoka. The site houses the modern Santi Stupa, a peace pagoda built in 1972 by Japanese Buddhist organisations, and serves as a focal point for Buddhist heritage and research in Odisha.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/ShantiSthupa_Dhauli.jpg/960px-ShantiSthupa_Dhauli.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,₹50 per person (general entry),Wikipedia & SerpApi,https://en.wikipedia.org/wiki/Dhauli,2026-08-16T22:52:28Z
5,Udayagiri and Khandagiri caves,2.0,1.5 to 2.5 Hours,20.262831,85.78603,Low,1,Heritage & Archaeological Site,Jain Rock‑Cut Caves,"The Udayagiri and Khandagiri caves, located about 3 km south of Bhubaneswar, are a group of 33 partially natural, partially artificial rock‑cut caves dating to the 2nd–1st century BCE. Carved under King Kharavela for Jain ascetics, they showcase intricate reliefs, double‑storeyed monastic cells and historic sculptures such as the famous Rani Gumpha and Hathi Gumpha.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Khandagari_and_Udaygiri_featured_image.jpg/960px-Khandagari_and_Udaygiri_featured_image.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,₹25 per person,Wikipedia & SerpApi,https://en.wikipedia.org/wiki/Udayagiri_and_Khandagiri_caves,2026-08-26T22:27:07Z
6,"Chausath Yogini Temple, Hirapur",2.0,1.5 to 2.5 Hours,20.226515,85.875595,Low,1,Temple & Sacred Sanctum,Kalinga Architecture Sacred Sanctum,"The Chausathi Yogini Temple (64-Yogini Temple) of Hirapur, also known as the Mahamaya Temple, is 20 km outside Bhubaneswar, the capital of Odisha state of Eastern India. It is devoted to the worship of the yoginis, auspicious goddess-like figures.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Chausath_Yogini_Temple_-_Outside.JPG/960px-Chausath_Yogini_Temple_-_Outside.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Free entry (Donations welcome; special darshan queue fees may apply),Wikipedia & SerpApi,"https://en.wikipedia.org/wiki/Chausath_Yogini_Temple,_Hirapur",2026-08-26T22:26:50Z
7,Brahmeswara Temple,2.0,1.5 to 2.5 Hours,20.239701,85.851764,Low,1,Temple & Sacred Sanctum,Kalinga Architecture Shiva Temple,"Brahmeswara Temple, erected in 1058 CE by Queen Kolavati Devi during the Somavamsi dynasty, is a richly carved 9th‑century Shiva shrine in Bhubaneswar. It exemplifies mature Kalinga architecture with a panchatanaya layout, intricate stone carvings, and early use of iron beams, while remaining an active place of worship.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Brahmeswar_Temple%2C_Bhubaneswar.JPG/960px-Brahmeswar_Temple%2C_Bhubaneswar.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Free entry,Wikipedia & SerpApi,https://en.wikipedia.org/wiki/Brahmeswara_Temple,2026-08-11T19:27:45Z
8,Ananta Vasudeva Temple,2.0,1.5 to 2.5 Hours,20.240606,85.835781,Low,1,Temple & Sacred Sanctum,Kalinga Architecture Vaishnavite Temple,"Ananta Vasudeva Temple, built in the 13th century under the Eastern Ganga dynasty, is a prominent Vaishnavite shrine in Bhubaneswar dedicated to Krishna, Balarama and Subhadra. Its architecture mirrors the Lingaraj temple with distinctive miniature shikharas and richly carved stone idols, and it remains an active place of worship offering free darshan and community prasad.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Ananta_Vasudev.jpg/960px-Ananta_Vasudev.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Free entry (Donations welcome),Wikipedia & SerpApi,https://en.wikipedia.org/wiki/Ananta_Vasudeva_Temple,2026-08-21T09:18:11Z
9,Sisupalgarh,2.5,2 to 3 Hours,20.226639,85.853056,Moderate,1,Heritage & Archaeological Site,Ancient Kalinga Monument,"Sisupalgarh or Sisupalagada (Odia: [sisupaːl̪ɔɡɔɽɔ] ) is situated in Khurda District in Odisha, India, and houses ruined fortifications. First inhabited around 7th to 6th centuries BCE, it is one of the largest and best-preserved early historic fortifications in India, and was once the capital of ancient Kalinga.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Sisupalgarh_fortified_urban_center.jpg/960px-Sisupalgarh_fortified_urban_center.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Free entry (Open monument),Wikipedia & SerpApi,https://en.wikipedia.org/wiki/Sisupalgarh,2026-08-26T22:27:13Z
10,Odisha State Museum,2.5,2 to 3 Hours,20.2562,85.8415,Low,1,"Arts, Crafts & Museum",State Museum,"The Odisha State Museum in Bhubaneswar, established in 1932 and housed in its present building since 1960, showcases eleven galleries covering archaeology, epigraphy, numismatics, natural history, art, crafts, and more. Managed by the Cultural Affairs Department of the Government of Odisha, it offers visitors a comprehensive view of the region's cultural and historical heritage.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Bhubaneswar_State_Museum.jpg/960px-Bhubaneswar_State_Museum.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,₹20 (general admission),Wikipedia & SerpApi,https://en.wikipedia.org/wiki/Odisha_State_Museum,2026-08-12T08:46:38Z
